model,split_seed,R2,RMSE,MAE,MAPE
BP,2052,0.5802955927872862,8.718469744320517,6.506768388572722,55.05374369608476
XGBoost,2045,0.8388536231237804,5.154526470430563,3.5982279516975377,43.83778041707339
RF,2045,0.8236833346660686,5.391693340854226,3.8241515428128223,50.3746848291264
