model,split_seed,candidate_id,R2,RMSE,MAE,MAPE
BP,2052,1,0.9664105486112988,7.4155898251542665,4.992024422917291,14.588867155165481
XGBoost,2032,1,0.9464426312941261,10.258941302543935,6.355209270666176,14.691101518385155
RF,2052,3,0.8776600691846645,14.15234346084318,8.760790185479573,24.103135399949174
